Months;Fixed tickets
January 2013;0
February 2013;0
March 2013;0
April 2013;0
May 2013;4
June 2013;5
July 2013;20
August 2013;16
September 2013;14
October 2013;17
November 2013;34
December 2013;9
January 2014;25
February 2014;18
March 2014;40
April 2014;11
May 2014;34
June 2014;7
July 2014;14
August 2014;68
September 2014;67
October 2014;58
November 2014;72
December 2014;46
January 2015;20
February 2015;24
March 2015;46
April 2015;39
May 2015;25
June 2015;61
July 2015;33
August 2015;50
September 2015;72
October 2015;52
November 2015;35
December 2015;45
January 2016;65
February 2016;43
March 2016;21
April 2016;33
May 2016;52
June 2016;43
July 2016;46
August 2016;39
September 2016;6
October 2016;8
November 2016;14
December 2016;30
January 2017;22
February 2017;20
March 2017;5
April 2017;0
May 2017;0
June 2017;1
July 2017;0
August 2017;1
September 2017;1
October 2017;3
November 2017;0
December 2017;0
January 2018;2
February 2018;6
March 2018;3
April 2018;3
May 2018;0
June 2018;1
July 2018;0
August 2018;6
September 2018;0
October 2018;0
November 2018;0
December 2018;0
